readType	refseqid	row	juncpos5	juncpos3	num_CRC.42
3UTR	NM_000210	69865	173362828	173368819	7
3UTR	NM_000210	69865	173366629	173368819	4
3UTR	NM_001005781	68331	203071976	203071526	3
3UTR	NM_001005782	68330	203071976	203071526	3
3UTR	NM_001008491	68000	242289618	242291382	52
3UTR	NM_001008492	68511	242289618	242291382	52
3UTR	NM_001009812	67364	74724905	74724713	1
3UTR	NM_001009993	67327	131810464	131810025	6
3UTR	NM_001033557	28016	44445676	44457552	24
3UTR	NM_001033575	68608	241500936	241503091	3
3UTR	NM_001033575	68608	241502013	241503091	3
3UTR	NM_001042426	67081	27016194	27016680	28
3UTR	NM_001080437	26583	242027817	242031053	1
3UTR	NM_001083590	65016	27258596	27264473	1
3UTR	NM_001099285	65156	232417249	232577599	3
3UTR	NM_001099285	65156	232577226	232577637	1
3UTR	NM_001099693	65530	101622511	101622820	1
3UTR	NM_001099693	65530	101622533	101622812	1
3UTR	NM_001127183	30573	202028807	202031877	1
3UTR	NM_001127183	30573	202028807	202036051	1
3UTR	NM_001130445	40250	182787139	182794288	2
3UTR	NM_001130445	40250	182793005	182794288	35
3UTR	NM_001130483	21724	58373609	58386484	17
3UTR	NM_001130483	21724	58381937	58386484	1
3UTR	NM_001134693	22623	27294194	27293589	184
3UTR	NM_001142370	60695	131130793	131132239	1
3UTR	NM_001142370	60695	131132490	131132655	1
3UTR	NM_001145169	38339	26532394	26531975	1
3UTR	NM_001145710	30537	24358057	24392225	1
3UTR	NM_001145710	30537	24369956	24392225	1
3UTR	NM_001145710	30537	24387204	24392225	3
3UTR	NM_001145710	30537	24390552	24392225	2
3UTR	NM_001165978	52037	95954754	95954972	3
3UTR	NM_001184938	60337	120861664	120865740	2
3UTR	NM_001184939	60340	120861664	120865740	2
3UTR	NM_001190329	60532	176043785	176043130	182
3UTR	NM_001191037	19757	232035435	232037249	49
3UTR	NM_001199290	13342	170606609	170606614	1
3UTR	NM_001199803	8208	25040710	25042223	7
3UTR	NM_001202515	40179	202028807	202031877	1
3UTR	NM_001202515	40179	202028807	202036051	1
3UTR	NM_001202516	20861	202028807	202031877	1
3UTR	NM_001202516	20861	202028807	202036051	1
3UTR	NM_001202517	29737	202028807	202031877	1
3UTR	NM_001202517	29737	202028807	202036051	1
3UTR	NM_001202518	29738	202025665	202028558	6
3UTR	NM_001202518	29738	202028807	202031877	1
3UTR	NM_001202518	29738	202028807	202036051	1
3UTR	NM_001202519	29739	202025665	202028558	6
3UTR	NM_001202519	29739	202028807	202031877	1
3UTR	NM_001202519	29739	202028807	202036051	1
3UTR	NM_001204107	52493	111907724	111921710	5
3UTR	NM_001204108	52492	111907724	111921710	5
3UTR	NM_001204109	52491	111907724	111921710	5
3UTR	NM_001204110	41813	111907724	111921710	5
3UTR	NM_001204112	41811	111907724	111921710	5
3UTR	NM_001206840	31730	85552038	85545846	1
3UTR	NM_001206841	46914	85552038	85545846	1
3UTR	NM_001206844	22214	85552038	85545846	1
3UTR	NM_001243900	10538	242169248	242167825	1
3UTR	NM_001256093	23392	175945388	175939563	6
3UTR	NM_001256126	62553	169518513	169630009	1
3UTR	NM_001256303	32577	25600268	25600177	1
3UTR	NM_001256304	55928	25600268	25600177	1
3UTR	NM_001256308	30015	25600268	25600177	1
3UTR	NM_001256725	19773	85875976	85876140	2
