readType	refseqid	row	juncpos5	juncpos3	num_NC.41
3UTR	NM_000210	69865	173362828	173368819	1
3UTR	NM_000210	69865	173366629	173368819	6
3UTR	NM_001005781	68331	203071976	203071526	1
3UTR	NM_001005782	68330	203071976	203071526	1
3UTR	NM_001006622	68625	128522402	128520733	2
3UTR	NM_001008491	68000	242289618	242291382	78
3UTR	NM_001008492	68511	242289618	242291382	78
3UTR	NM_001009993	67327	131810464	131810025	17
3UTR	NM_001033557	28016	44445676	44457552	16
3UTR	NM_001040445	64911	239355296	239358766	1
3UTR	NM_001042426	67081	27016194	27016680	1
3UTR	NM_001080437	26583	242027817	242031053	4
3UTR	NM_001099693	65530	101622511	101622820	1
3UTR	NM_001099693	65530	101622533	101622675	1
3UTR	NM_001100818	64779	229890288	229889615	1
3UTR	NM_001127183	30573	202028807	202031877	6
3UTR	NM_001130445	40250	182787139	182794288	1
3UTR	NM_001130445	40250	182793005	182794288	30
3UTR	NM_001130483	21724	58373609	58386484	7
3UTR	NM_001130483	21724	58381937	58386484	1
3UTR	NM_001134693	22623	27294194	27293589	100
3UTR	NM_001135597	22936	55518812	55518300	2
3UTR	NM_001136574	11861	211300111	211296559	2
3UTR	NM_001136575	11860	211300111	211296559	2
3UTR	NM_001145710	30537	24387204	24392225	1
3UTR	NM_001145710	30537	24390552	24392225	6
3UTR	NM_001170791	3052	38244378	38244721	1
3UTR	NM_001170792	39489	38244378	38244721	1
3UTR	NM_001170793	39488	38244378	38244721	1
3UTR	NM_001190329	60532	176043785	176043130	91
3UTR	NM_001191037	19757	232030731	232037249	1
3UTR	NM_001191037	19757	232035435	232037249	32
3UTR	NM_001198595	9103	48818994	48824446	4
3UTR	NM_001199803	8208	25040710	25042223	1
3UTR	NM_001202515	40179	202028807	202031877	6
3UTR	NM_001202516	20861	202028807	202031877	6
3UTR	NM_001202517	29737	202028807	202031877	6
3UTR	NM_001202518	29738	202025665	202028558	9
3UTR	NM_001202518	29738	202027829	202028558	1
3UTR	NM_001202518	29738	202028807	202031877	6
3UTR	NM_001202519	29739	202025665	202028558	9
3UTR	NM_001202519	29739	202027829	202028558	1
3UTR	NM_001202519	29739	202028807	202031877	6
3UTR	NM_001204107	52493	111907724	111911357	1
3UTR	NM_001204107	52493	111907724	111921710	1
3UTR	NM_001204108	52492	111907724	111921710	1
3UTR	NM_001204109	52491	111907724	111921710	1
3UTR	NM_001204110	41813	111907724	111921710	1
3UTR	NM_001204112	41811	111907724	111921710	1
3UTR	NM_001206841	46914	85552038	85549793	2
3UTR	NM_001206844	22214	85552038	85549793	2
3UTR	NM_001243900	10538	242169248	242167825	1
3UTR	NM_001244676	34623	88482592	88485417	1
3UTR	NM_001244676	34623	88484998	88485417	3
3UTR	NM_001254943	5414	55518812	55518300	2
3UTR	NM_001256093	23392	175945388	175939563	4
3UTR	NM_001256725	19773	85875976	85876140	2
3UTR	NM_001256726	53037	85875139	85875884	22
3UTR	NM_001256726	53037	85875976	85876140	2
3UTR	NM_001256727	53042	85875976	85876140	2
3UTR	NM_001256728	3321	85875976	85876140	2
3UTR	NM_001258312	44981	183011763	183007765	3
3UTR	NM_001267059	39074	27600304	27600309	1
3UTR	NM_001267060	39073	27600304	27600309	1
3UTR	NM_001267061	39068	27600304	27600309	1
3UTR	NM_001278289	61859	210882283	210884393	5
3UTR	NM_001278289	61859	210882945	210884393	1
3UTR	NM_001282711	40254	11315135	11317863	20
3UTR	NM_001282712	32694	11315135	11317863	20
3UTR	NM_001282719	32631	20885307	20884683	2
3UTR	NM_001282720	32633	20885307	20884683	2
3UTR	NM_001282721	32632	20885307	20884683	2
3UTR	NM_001282722	32635	20885307	20884683	2
3UTR	NM_001282723	32634	20885307	20884683	2
3UTR	NM_001282723	32634	20901330	20886854	2
3UTR	NM_001282724	32637	20885307	20884683	2
3UTR	NM_001282724	32637	20901330	20886854	2
3UTR	NM_001282958	48246	233431924	233445614	4
3UTR	NM_001282958	48246	233439051	233445614	7
3UTR	NM_001282972	32091	242289618	242291382	78
3UTR	NM_001282973	57864	242289618	242291382	78
3UTR	NM_001284233	54894	144709549	144704702	3
3UTR	NM_001287503	25476	182787139	182794288	1
3UTR	NM_001287503	25476	182793005	182794288	30
3UTR	NM_001287504	25464	182787139	182794288	1
3UTR	NM_001287504	25464	182793005	182794288	30
3UTR	NM_001288838	55471	58373609	58386484	7
3UTR	NM_001288838	55471	58381937	58386484	1
3UTR	NM_001291328	30533	24387204	24392225	1
3UTR	NM_001291328	30533	24390552	24392225	6
3UTR	NM_001301324	53949	27324965	27322708	1
3UTR	NM_001301627	21280	155295238	155306923	2
3UTR	NM_001304536	21583	222289929	222285272	2
3UTR	NM_001304537	21582	222289929	222285272	2
3UTR	NM_001306158	12238	114399685	114400767	1
3UTR	NM_001306158	12238	114399722	114400767	1
3UTR	NM_001306159	12237	114399685	114400767	1
3UTR	NM_001306159	12237	114399722	114400767	1
3UTR	NM_001306160	30777	114399685	114400767	1
3UTR	NM_001306160	30777	114399722	114400767	1
3UTR	NM_001306161	12236	114399685	114400767	1
3UTR	NM_001306161	12236	114399722	114400767	1
3UTR	NM_001308042	30329	202025665	202028558	9
3UTR	NM_001308042	30329	202027829	202028558	1
3UTR	NM_001308042	30329	202028807	202031877	6
3UTR	NM_001316306	3319	173362828	173368819	1
3UTR	NM_001316306	3319	173366629	173368819	6
3UTR	NM_001319100	17586	65309843	65310773	12
3UTR	NM_001319101	17585	65309843	65310773	12
3UTR	NM_001320418	10929	99786013	99785933	9
3UTR	NM_001320589	48783	54365885	54531825	12
